smiles_monomer,pm,distribution,ref,comment,mechanism,Mn,Mv,Mw,PDI,Tc,Td,Tg,Tm,density,elongation to break,elongation_at_break,flexural_strength,modulus,modulus_of_elasticity,notched_strength,set,tensile modulus,tensile strength,tensile stress relaxation,tensile_strength,unnotched_strength,yield_elongation,yield_strength,monomers,data_id
COC(=O)[C@@H](O)CC(=O)O.COC(=O)[C@H](O)CC(=O)O,0.24,[],"Jaffredo, C. G., Chapurina, Y., Kirillov, E., Carpentier, J.-F. & Guillaume, S. M. Highly Stereocontrolled Ring-Opening Polymerization ofRacemic Alkyl b-Malolactonates MediatedbyYttrium [Amino-alkoxy- bis(phenolate)]Complexes. Chem. - A Eur. J. 22, 7629-7641 (2016).","table 3, #2",ester_stereo,24200,,54208,1.22,,,,60,,,,,,,,,,,,,,,,"('COC(=O)[C@@H](O)CC(=O)O', 'COC(=O)[C@H](O)CC(=O)O')",375
COC(=O)[C@@H](O)CC(=O)O.COC(=O)[C@H](O)CC(=O)O,0.24,[],"Jaffredo, C. G., Chapurina, Y., Kirillov, E., Carpentier, J.-F. & Guillaume, S. M. Highly Stereocontrolled Ring-Opening Polymerization ofRacemic Alkyl b-Malolactonates MediatedbyYttrium [Amino-alkoxy- bis(phenolate)]Complexes. Chem. - A Eur. J. 22, 7629-7641 (2016).","table S8, 2",ester_stereo,,,,,,,41,160,,,,,,,,,,,,,,,,"('COC(=O)[C@@H](O)CC(=O)O', 'COC(=O)[C@H](O)CC(=O)O')",376
COC(=O)[C@@H](O)CC(=O)O.COC(=O)[C@H](O)CC(=O)O,0.58,[],"Jaffredo, C. G., Chapurina, Y., Kirillov, E., Carpentier, J.-F. & Guillaume, S. M. Highly Stereocontrolled Ring-Opening Polymerization ofRacemic Alkyl b-Malolactonates MediatedbyYttrium [Amino-alkoxy- bis(phenolate)]Complexes. Chem. - A Eur. J. 22, 7629-7641 (2016).","table S8, 1",ester_stereo,,,,,,,37,,,,,,,,,,,,,,,,,"('COC(=O)[C@@H](O)CC(=O)O', 'COC(=O)[C@H](O)CC(=O)O')",377
COC[C@@H](CO)CC(=O)O.COC[C@H](CO)CC(=O)O,0.19,[],"Ligny, R., H√§nninen, M. M., Guillaume, S. M., & Carpentier, J. F. (2017). Highly Syndiotactic or Isotactic Polyhydroxyalkanoates by Ligand-Controlled Yttrium-Catalyzed Stereoselective Ring-Opening Polymerization of Functional Racemic Œ≤-Lactones. Angewandte Chemie - International Edition, 56(35), 10388‚Äì10393. https://doi.org/10.1002/anie.201704283",Table S3.5,ester_stereo,,,,,61,,-11,117,,,,,,,,,,,,,,,,"('COC[C@@H](CO)CC(=O)O', 'COC[C@H](CO)CC(=O)O')",378
COC[C@@H](CO)CC(=O)O.COC[C@H](CO)CC(=O)O,0.9,[],"Ligny, R., H√§nninen, M. M., Guillaume, S. M., & Carpentier, J. F. (2017). Highly Syndiotactic or Isotactic Polyhydroxyalkanoates by Ligand-Controlled Yttrium-Catalyzed Stereoselective Ring-Opening Polymerization of Functional Racemic Œ≤-Lactones. Angewandte Chemie - International Edition, 56(35), 10388‚Äì10393. https://doi.org/10.1002/anie.201704283",Table S3.6,ester_stereo,,,,,,,-12,,,,,,,,,,,,,,,,,"('COC[C@@H](CO)CC(=O)O', 'COC[C@H](CO)CC(=O)O')",379
COC[C@@H](CO)CC(=O)O.COC[C@H](CO)CC(=O)O,1,[],"Ligny, R., H√§nninen, M. M., Guillaume, S. M., & Carpentier, J. F. (2017). Highly Syndiotactic or Isotactic Polyhydroxyalkanoates by Ligand-Controlled Yttrium-Catalyzed Stereoselective Ring-Opening Polymerization of Functional Racemic Œ≤-Lactones. Angewandte Chemie - International Edition, 56(35), 10388‚Äì10393. https://doi.org/10.1002/anie.201704283",Table S3.7,ester_stereo,,,,,,,-18,,,,,,,,,,,,,,,,,"('COC[C@@H](CO)CC(=O)O', 'COC[C@H](CO)CC(=O)O')",380
COC[C@@H](CO)OC(=O)c1ccccc1C(=O)O.COC[C@H](CO)OC(=O)c1ccccc1C(=O)O,0.99,[],"Li, J., Ren, B. H., Wan, Z. Q., Chen, S. Y., Liu, Y., Ren, W. M., & Lu, X. B. (2019). Enantioselective Resolution Copolymerization of Racemic Epoxides and Anhydrides: Efficient Approach for Stereoregular Polyesters and Chiral Epoxides. Journal of the American Chemical Society, 141(22), 8937‚Äì8942. https://doi.org/10.1021/jacs.9b02722",Table 1.7,ester_stereo,11500,,13900,1.21,,,48,153,,,,,,,,,,,,,,,,"('COC[C@@H](CO)OC(=O)c1ccccc1C(=O)O', 'COC[C@H](CO)OC(=O)c1ccccc1C(=O)O')",381
C[C@@H](CO)C(=O)O.C[C@@H](CO)C(=O)O,0.85,[],"Xu, J., McCarthy, S. P., & Gross, R. A. (1996). Racemic Œ±-methyl-Œ≤-propiolactone polymerization by organometallic catalyst systems. Macromolecules, 29(13), 4565‚Äì4571. https://doi.org/10.1021/ma951900g",Table 3.IBAO-AI,vinyl_stereo,662000,,894000,1.35,,,-25,120,,,,,,,,,,,,,,,,"('C[C@@H](CO)C(=O)O', 'C[C@@H](CO)C(=O)O')",382
C[C@@H](CO)OC(=O)/C=C\C(=O)O.C[C@H](CO)OC(=O)/C=C\C(=O)O,0.99,[],"Li, J., Ren, B. H., Wan, Z. Q., Chen, S. Y., Liu, Y., Ren, W. M., & Lu, X. B. (2019). Enantioselective Resolution Copolymerization of Racemic Epoxides and Anhydrides: Efficient Approach for Stereoregular Polyesters and Chiral Epoxides. Journal of the American Chemical Society, 141(22), 8937‚Äì8942. https://doi.org/10.1021/jacs.9b02722",Table 1.22,ester_stereo,1800,,2210,1.23,,,33,,,,,,,,,,,,,,,,,"('C[C@@H](CO)OC(=O)/C=C\\C(=O)O', 'C[C@H](CO)OC(=O)/C=C\\C(=O)O')",383
C[C@@H](CO)OC(=O)CCC(=O)O.C[C@H](CO)OC(=O)CCC(=O)O,0.53,[],"Li, J., Ren, B. H., Wan, Z. Q., Chen, S. Y., Liu, Y., Ren, W. M., & Lu, X. B. (2019). Enantioselective Resolution Copolymerization of Racemic Epoxides and Anhydrides: Efficient Approach for Stereoregular Polyesters and Chiral Epoxides. Journal of the American Chemical Society, 141(22), 8937‚Äì8942. https://doi.org/10.1021/jacs.9b02722",Table 1.20,ester_stereo,30600,,38300,1.25,,,12,,,,,,,,,,,,,,,,,"('C[C@@H](CO)OC(=O)CCC(=O)O', 'C[C@H](CO)OC(=O)CCC(=O)O')",384
C[C@@H](CO)OC(=O)c1ccccc1C(=O)O.C[C@H](CO)OC(=O)c1ccccc1C(=O)O,0.91,[],"Li, J., Ren, B. H., Wan, Z. Q., Chen, S. Y., Liu, Y., Ren, W. M., & Lu, X. B. (2019). Enantioselective Resolution Copolymerization of Racemic Epoxides and Anhydrides: Efficient Approach for Stereoregular Polyesters and Chiral Epoxides. Journal of the American Chemical Society, 141(22), 8937‚Äì8942. https://doi.org/10.1021/jacs.9b02722",Table 1.3,ester_stereo,9700,,11500,1.19,,,,104,,,,,,,,,,,,,,,,"('C[C@@H](CO)OC(=O)c1ccccc1C(=O)O', 'C[C@H](CO)OC(=O)c1ccccc1C(=O)O')",385
C[C@@H](CO)OC(=O)c1ccccc1C(=O)O.C[C@H](CO)OC(=O)c1ccccc1C(=O)O,0.95,[],"Li, J., Ren, B. H., Wan, Z. Q., Chen, S. Y., Liu, Y., Ren, W. M., & Lu, X. B. (2019). Enantioselective Resolution Copolymerization of Racemic Epoxides and Anhydrides: Efficient Approach for Stereoregular Polyesters and Chiral Epoxides. Journal of the American Chemical Society, 141(22), 8937‚Äì8942. https://doi.org/10.1021/jacs.9b02722",Table 1.2,ester_stereo,4500,,4860,1.08,,,,101,,,,,,,,,,,,,,,,"('C[C@@H](CO)OC(=O)c1ccccc1C(=O)O', 'C[C@H](CO)OC(=O)c1ccccc1C(=O)O')",386
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.04,[],"Chile, L. E., Mehrkhodavandi, P., & Hatzikiriakos, S. G. (2016). A Comparison of the Rheological and Mechanical Properties of Isotactic, Syndiotactic, and Heterotactic Poly(lactide). Macromolecules, 49(3), 909-919. https://doi.org/10.1021/acs.macromol.5b02568","Table 2,#2",ester_stereo,191205,,182100,1.05,,,37.9,,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",387
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.04,[],"Chile, L. E., Mehrkhodavandi, P., & Hatzikiriakos, S. G. (2016). A Comparison of the Rheological and Mechanical Properties of Isotactic, Syndiotactic, and Heterotactic Poly(lactide). Macromolecules, 49(3), 909-919. https://doi.org/10.1021/acs.macromol.5b02568","Table 2,#4",ester_stereo,,,,,,,34,151,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",388
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.05,[],"Chile, L. E., Mehrkhodavandi, P., & Hatzikiriakos, S. G. (2016). A Comparison of the Rheological and Mechanical Properties of Isotactic, Syndiotactic, and Heterotactic Poly(lactide). Macromolecules, 49(3), 909-919. https://doi.org/10.1021/acs.macromol.5b02568",Text,ester_stereo,,,,,,,46,120,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",389
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.11,[],"Darensbourg, D. J., & Karroonnirun, O. (2010). Ring-Opening polymerization of lactides catalyzed by natural Amino-Acid based zinc catalysts. Inorganic Chemistry, 49(5), 2360-2371. https://doi.org/10.1021/ic902271x","table 5, #3",ester_stereo,8760,,,,,,50,,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",390
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.14,[],"Chile, L. E., Mehrkhodavandi, P., & Hatzikiriakos, S. G. (2016). A Comparison of the Rheological and Mechanical Properties of Isotactic, Syndiotactic, and Heterotactic Poly(lactide). Macromolecules, 49(3), 909-919. https://doi.org/10.1021/acs.macromol.5b02568","Table 2,#3",ester_stereo,146700,,149634,1.02,,,30.8,,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",391
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.24,[],"Darensbourg, D. J., & Karroonnirun, O. (2010). Ring-Opening polymerization of lactides catalyzed by natural Amino-Acid based zinc catalysts. Inorganic Chemistry, 49(5), 2360-2371. https://doi.org/10.1021/ic902271x","table 5, #2",ester_stereo,8630,,,,,,39,,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",392
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.4,[],"Chile, L. E., Mehrkhodavandi, P., & Hatzikiriakos, S. G. (2016). A Comparison of the Rheological and Mechanical Properties of Isotactic, Syndiotactic, and Heterotactic Poly(lactide). Macromolecules, 49(3), 909-919. https://doi.org/10.1021/acs.macromol.5b02568","Table 2,#1",ester_stereo,154600,,173152,1.12,,,,31.9,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",393
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.71,[],"Chile, L. E., Mehrkhodavandi, P., & Hatzikiriakos, S. G. (2016). A Comparison of the Rheological and Mechanical Properties of Isotactic, Syndiotactic, and Heterotactic Poly(lactide). Macromolecules, 49(3), 909-919. https://doi.org/10.1021/acs.macromol.5b02568","Table 2,#5",ester_stereo,118600,,123344,1.04,,,46.2,,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",394
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.76,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #18",ester_stereo,228000,,243960,1.07,,,,142,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",395
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.77,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #6",ester_stereo,20800,,26832,1.29,,,,146,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",396
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.77,[],"Xu, T. Q., Yang, G. W., Liu, C., & Lu, X. B. (2017). Highly Robust Yttrium Bis(phenolate) Ether Catalysts for Excellent Isoselective Ring-Opening Polymerization of Racemic Lactide. Macromolecules, 50(2), 515-522. https://doi.org/10.1021/acs.macromol.6b02439","Table 2, #3",ester_stereo,2450,,4410,1.8,,,,165,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",397
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.78,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #3",ester_stereo,4700,,5076,1.08,,,,153,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",398
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.78,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #7",ester_stereo,23000,,31280,1.36,,,,147,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",399
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.79,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #5",ester_stereo,5300,,5671,1.07,,,,163,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",400
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.82,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #10",ester_stereo,59500,,63665,1.07,,,,170,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",401
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.82,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #11",ester_stereo,21800,,23544,1.08,,,,167,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",402
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.82,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #4",ester_stereo,14100,,16920,1.2,,,,165,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",403
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.82,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #8",ester_stereo,18300,,23607,1.29,,,,161,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",404
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.82,[],"Xu, T. Q., Yang, G. W., Liu, C., & Lu, X. B. (2017). Highly Robust Yttrium Bis(phenolate) Ether Catalysts for Excellent Isoselective Ring-Opening Polymerization of Racemic Lactide. Macromolecules, 50(2), 515-522. https://doi.org/10.1021/acs.macromol.6b02439","Table 2, #2",ester_stereo,2570,,4523.2,1.76,,,,171,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",405
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.83,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #12",ester_stereo,19400,,24056,1.24,,,,169,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",406
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.83,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #9",ester_stereo,20000,,22200,1.11,,,,170,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",407
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.83,[],"Xu, T. Q., Yang, G. W., Liu, C., & Lu, X. B. (2017). Highly Robust Yttrium Bis(phenolate) Ether Catalysts for Excellent Isoselective Ring-Opening Polymerization of Racemic Lactide. Macromolecules, 50(2), 515-522. https://doi.org/10.1021/acs.macromol.6b02439","Table 2, #5",ester_stereo,18400,,31648,1.72,,,,174,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",408
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.83,[],"Xu, T. Q., Yang, G. W., Liu, C., & Lu, X. B. (2017). Highly Robust Yttrium Bis(phenolate) Ether Catalysts for Excellent Isoselective Ring-Opening Polymerization of Racemic Lactide. Macromolecules, 50(2), 515-522. https://doi.org/10.1021/acs.macromol.6b02439","Table 2, #9",ester_stereo,3450,,4347,1.26,,,,176,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",409
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.84,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #21",ester_stereo,23100,,24948,1.08,,,,171,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",410
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.84,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 4, #1",ester_stereo,59900,,67687,1.13,,,,176,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",411
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.84,[],"Xu, T. Q., Yang, G. W., Liu, C., & Lu, X. B. (2017). Highly Robust Yttrium Bis(phenolate) Ether Catalysts for Excellent Isoselective Ring-Opening Polymerization of Racemic Lactide. Macromolecules, 50(2), 515-522. https://doi.org/10.1021/acs.macromol.6b02439","Table 2, #1",ester_stereo,2720,,3644.8,1.34,,,,175,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",412
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.85,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #19",ester_stereo,20200,,21210,1.05,,,,171,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",413
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.85,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #20",ester_stereo,22700,,24743,1.09,,,,171,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",414
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.85,[],"Xu, T. Q., Yang, G. W., Liu, C., & Lu, X. B. (2017). Highly Robust Yttrium Bis(phenolate) Ether Catalysts for Excellent Isoselective Ring-Opening Polymerization of Racemic Lactide. Macromolecules, 50(2), 515-522. https://doi.org/10.1021/acs.macromol.6b02439","Table 2, #6",ester_stereo,2700,,3699,1.37,,,,175,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",415
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.86,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #13",ester_stereo,21900,,22995,1.05,,,,185,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",416
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.87,[],"Kan, Z., Luo, W., Shi, T., Wei, C., Han, B., Zheng, D., & Liu, S. (2018). Facile preparation of stereoblock PLA from ring-opening polymerization of rac-lactide by a synergetic binary catalytic system containing ureas and alkoxides. Frontiers in Chemistry, 6(NOV), 1-9. https://doi.org/10.3389/fchem.2018.00547","table 1, #3",ester_stereo,13500,,15390,1.14,,,,168,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",417
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.88,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #32",ester_stereo,14900,,16092,1.08,,,,183,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",418
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.88,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #34",ester_stereo,14300,,15158,1.06,,,,175,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",419
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.88,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #35",ester_stereo,18500,,19610,1.06,,,,177,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",420
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.9,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #15",ester_stereo,20100,,21306,1.06,,,,192,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",421
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.9,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #16",ester_stereo,16100,,17066,1.06,,,,192,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",422
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.9,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 4, #4",ester_stereo,57300,,63030,1.1,,,,188,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",423
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.9,[],"Xu, T. Q., Yang, G. W., Liu, C., & Lu, X. B. (2017). Highly Robust Yttrium Bis(phenolate) Ether Catalysts for Excellent Isoselective Ring-Opening Polymerization of Racemic Lactide. Macromolecules, 50(2), 515-522. https://doi.org/10.1021/acs.macromol.6b02439","Table 2, #7",ester_stereo,2410,,3060.7,1.27,,,,186,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",424
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.91,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 4, #5",ester_stereo,58900,,64790,1.1,,,,188,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",425
C[C@@H](O)C(=O)O.C[C@H](O)C(=O)O,0.92,[],"Nomura, N., Ishii, R., Yamamoto, Y., & Kondo, T. (2007). Stereoselective ring-opening polymerization of a racemic lactide by using achiral salen- and homosalen-aluminum complexes. Chemistry - A European Journal, 13(16), 4433-4451. https://doi.org/10.1002/chem.200601308","table 1, #14",ester_stereo,22400,,23744,1.06,,,,192,,,,,,,,,,,,,,,,"('C[C@@H](O)C(=O)O', 'C[C@H](O)C(=O)O')",426
